Channel Name,Total Videos,Total Subscribers,Members Count,AI Generated Content (%),Engagement Score,Content Value Index,Channel ID
Lowery and Sons Studios,214,5345829,274995,98,84517.03,37.1,768
"Mccarthy, Reynolds and Johnson Labs",249,4591787,22627,60,72595.7,30.6,769
Smith-Harris Studios,114,6371539,194769,35,100733.41,20.3,770
Smith-Harris Studios,114,6371539,194769,35,100733.41,20.3,2331
"Nicholson, Delgado and Sharp Network",259,4119189,479257,15,65123.98,8.7,771
Robinson-Webb Studios,456,2231024,5766,14,35272.27,11.9,772
Friedman LLC Network,285,5501750,294870,90,86982.13,39.6,773
King-Wagner Studios,275,2621582,164573,75,41446.96,34.4,774
Ramirez-Rivera Studios,473,1766743,304826,47,27932.03,16.9,775
Buckley-Fuller Studios,482,6366539,297379,6,100654.36,8.8,776
Soto and Sons Hub,125,2160376,251572,51,34155.33,18.1,777
Bradford-Ross Studios,451,3057065,334218,17,48331.9,6.5,778
Price Group Studios,456,8259416,209988,29,130580.56,10.8,779
"Mejia, Miles and Sims Studios",57,4376812,258794,42,69196.97,21.7,780
Brown-Martinez Studios,397,6667180,228945,87,105407.47,31.0,781
"Cook, Wood and Snyder Hub",484,7387332,229994,52,116793.0,29.6,782
Hernandez Group Hub,426,3676100,19999,65,58118.78,25.1,783
"Cooper, Howell and Monroe Labs",349,4077151,258546,29,64459.36,17.099999999999998,784
Rodriguez PLC Hub,88,9947159,87460,79,157263.61,30.7,785
Rodriguez PLC Hub,88,9947159,87460,79,157263.61,30.7,3346
Sanders-Ruiz Hub,262,3459613,403494,11,54696.14,3.3,786
"Shannon, Webster and Dudley Hub",202,3980899,95674,35,62937.62,12.6,787
Jordan Ltd Network,95,2771711,160447,36,43820.48,24.8,788
Thompson and Sons Labs,223,4627478,462554,5,73159.98,7.8,789
Carroll-Fox Hub,66,7735037,86631,65,122290.18,27.9,790
Baker Ltd Labs,166,9914650,386927,29,156749.65,10.8,791
Baker Ltd Labs,166,9914650,386927,29,156749.65,10.8,4646
"Rosales, Mendoza and Mendoza Labs",69,2774973,98900,72,43872.05,34.9,792
Fox Ltd Hub,206,3184557,383746,94,50347.54,34.5,793
Nichols and Sons Network,360,8992438,320072,57,142169.57,21.3,794
Gibson Group Labs,396,5561535,167586,88,87927.33,38.3,795
Williams-Wells Network,237,8408721,405083,92,132941.06,37.4,796
Gamble-Gentry Studios,367,6531907,175859,71,103268.81,24.8,797
Johns and Sons Network,400,4165125,243865,100,65850.22,39.1,798
Bentley-Smith Hub,117,9670936,401557,33,152896.55,9.9,799
Brown-Hodges Hub,89,2536710,414365,74,40105.14,32.0,800
"King, Taylor and Jenkins Studios",211,376686,227647,10,5955.37,5.1,801
Miller PLC Labs,410,4603690,358974,50,72783.89,25.5,802
West and Sons Network,169,6425685,290897,74,101589.45,30.6,803
"Clark, Griffin and Thomas Studios",496,7530619,189727,67,119058.35,26.4,804
"Sanders, Sparks and Cox Network",480,2094196,441912,38,33109.03,15.6,805
"Marks, Rogers and Hanson Labs",496,229881,364365,99,3634.4,39.5,806
"Delgado, Lopez and Camacho Network",78,8675347,32310,19,137156.39,10.6,807
Sweeney Group Network,112,3802365,173357,1,60115.02,2.3999999999999995,808
Faulkner-Arias Network,205,2613284,207837,17,41315.77,7.199999999999999,809
Roman PLC Network,97,1534223,375303,50,24255.92,22.0,810
"Gray, Bell and Montgomery Labs",249,8863304,343505,77,140127.97,35.7,811
Dickerson-Lyons Studios,93,5578624,73066,56,88197.5,21.7,812
Graham-Hooper Network,206,1442336,242238,38,22803.19,20.5,813
"Petty, Keller and Anthony Studios",441,2101112,264646,27,33218.38,22.1,814
Washington-Mayer Network,279,1695085,422815,48,26799.13,23.5,815
Flores Inc Labs,445,7733790,119145,88,122270.47,34.8,816
Garcia-Garza Labs,253,2022673,350271,48,31978.26,27.0,817
"Strickland, Henson and Harris Labs",425,527244,32113,40,8335.68,20.4,818
White-Rangel Hub,311,558665,234713,83,8832.44,35.4,819
Howard PLC Labs,141,2447095,220911,69,38688.33,33.3,820
"Mcneil, Gilbert and Smith Labs",56,3579651,460232,37,56593.93,16.0,821
Leonard-Holland Network,206,2654869,335095,10,41973.22,16.299999999999997,822
Hamilton Group Hub,187,2072045,370702,47,32758.83,20.4,823
Spencer LLC Hub,359,3442344,101927,21,54423.12,16.8,824
"Wright, Zimmerman and King Labs",400,9507366,131607,6,150310.53,15.099999999999998,825
"Navarro, Mclean and Hopkins Studios",222,68324,213435,46,1080.2,23.6,826
Sosa Inc Studios,92,3525321,88621,67,55734.98,22.2,827
"Boyd, James and Preston Hub",321,2968394,206874,1,46930.02,14.3,828
Golden-Williams Hub,362,6859479,349249,75,108447.69,25.3,829
"Lopez, Jones and Thomas Hub",493,5335923,151999,0,84360.42,4.9,830
"Smith, Sexton and Valdez Labs",216,707357,422705,29,11183.25,19.9,831
Farley-Bennett Network,78,412089,281091,42,6515.09,12.6,832
Parker-Morris Studios,189,6641885,416706,45,105007.55,22.6,833
Wong-Owens Studios,139,195030,278826,19,3083.41,9.2,834
Johnson-Campbell Network,244,8728827,214771,42,138001.9,19.6,835
Hunter LLC Labs,444,9730561,356227,63,153839.22,30.8,836
"Liu, Allen and Griffin Studios",328,6954570,338156,5,109951.07,9.2,837
Gregory-Cole Network,254,9813939,14932,19,155157.42,19.7,838
Adkins Group Studios,235,131130,268985,11,2073.15,14.5,839
Reese-Faulkner Labs,94,949739,466526,74,15015.28,25.0,840
Glenn and Sons Studios,219,4542791,365469,77,71821.08,35.0,841
Glenn and Sons Studios,219,4542791,365469,77,71821.08,35.0,4012
Martin-Harris Network,481,4740182,29536,35,74941.81,11.2,842
Cunningham Group Studios,119,6082370,61762,20,96161.68,19.3,843
Cunningham Group Studios,119,6082370,61762,20,96161.68,19.3,4361
Brown-Montgomery Studios,90,5754603,111164,96,90979.71,41.4,844
Bowman Ltd Network,131,2577971,335258,26,40757.47,13.4,845
Robinson-Pennington Network,317,3287032,495352,39,51967.66,23.6,846
Lee-Hayes Labs,274,472024,499404,20,7462.65,13.7,847
Chan-Clayton Hub,312,7474851,293130,90,118176.67,31.2,848
Wade-Eaton Labs,148,6531460,328316,47,103261.75,15.5,849
Phillips PLC Labs,307,5884003,402730,11,93025.51,11.0,850
Phillips PLC Labs,307,5884003,402730,11,93025.51,11.0,4132
"Clarke, Boyd and Diaz Studios",414,5142675,24483,88,81305.19,39.0,851
Whitney-Rodriguez Network,300,4720359,65544,97,74628.42,41.0,852
Dyer Group Network,284,4061548,364536,59,64212.68,19.8,853
Schwartz Inc Hub,343,7696252,211163,14,121676.99,16.8,854
Dixon Ltd Hub,115,303913,388137,100,4804.83,38.4,855
Chavez LLC Studios,52,5585052,445846,12,88299.13,3.6,856
"Robbins, Hunter and Johnson Network",485,9372870,364715,5,148184.16,6.4,857
Fernandez Ltd Studios,274,2330344,23519,11,36842.51,5.4,858
Davidson and Sons Labs,181,8839272,336965,66,139748.03,32.4,859
"Cook, Herrera and Woodard Studios",363,1667310,336642,29,26360.01,22.0,860
"Lee, Hess and Marshall Network",255,3392608,169928,94,53636.8,34.5,861
Ryan PLC Hub,366,6806871,404748,12,107615.97,17.6,862
"Stephens, Flynn and Beck Network",159,7653090,324657,79,120994.61,23.7,863
"Edwards, Ballard and James Studios",335,9682074,322376,83,153072.65,35.4,864
"Gross, Larson and Duncan Labs",399,3612062,312476,85,57106.35,36.0,865
"Newman, Davies and Mendoza Network",371,4868195,79641,12,76965.69,9.2,866
Gonzalez PLC Labs,63,8013539,57471,6,126693.27,13.7,867
"Mcclure, Mccarthy and Simpson Network",65,3760297,360241,19,59449.93,19.7,868
Wilson-Cameron Network,90,3125568,304403,97,49414.93,43.1,869
"Kelley, King and Sullivan Hub",89,3392633,9164,23,53637.2,6.9,870
Ramirez Inc Network,305,4027564,473313,55,63675.39,27.0,871
"Ferguson, Moore and Thompson Labs",274,9823487,397994,30,155308.37,16.7,872
Campbell-Dominguez Hub,287,8425694,143419,65,133209.4,27.2,873
Mann and Sons Network,177,7803277,24768,3,123369.05,10.0,874
Frazier Ltd Network,285,7659452,78270,66,121095.19,28.2,875
Lee-Silva Studios,243,6907531,66448,64,109207.39,20.6,876
Mcmillan and Sons Studios,253,5018665,488455,46,79344.6,19.4,877
"Harris, Wright and Rollins Studios",210,279848,26349,10,4424.37,14.9,878
"Moore, Hamilton and Burton Hub",63,451511,310489,2,7138.34,8.299999999999999,879
"Fowler, Sampson and Richardson Labs",347,2468839,318884,62,39032.1,26.3,880
Rollins-Cantu Labs,217,6181687,303221,92,97731.87,30.4,881
Mckinney and Sons Studios,357,898321,231419,57,14202.37,30.4,882
Carroll-Landry Labs,468,4680908,300630,14,74004.7,18.2,883
Clark LLC Studios,211,2002094,353196,26,31652.91,14.8,884
"Nash, Hammond and Klein Labs",287,304249,297668,88,4810.15,32.0,885
Dodson-Mercer Network,146,9832028,383207,12,155443.4,6.4,886
Perez Inc Network,480,37540,186561,92,593.5,31.1,887
"Smith, Mejia and Santos Labs",266,8926681,241872,0,141129.96,12.6,888
Parker-Beck Labs,76,5195181,61649,15,82135.3,5.2,889
Mora-White Network,235,2224570,382187,10,35170.23,10.7,890
Maxwell-Meza Network,369,4383547,385053,7,69303.45,7.699999999999999,891
"Green, Mccormick and Bell Studios",76,1999102,397907,32,31605.61,13.8,892
Guerrero-Greer Labs,440,1006507,255695,54,15912.78,19.0,893
"Hoover, Douglas and Smith Labs",359,7999425,154289,13,126470.13,17.2,894
"Robinson, Miller and Wright Hub",422,8748852,33584,93,138318.5,31.4,895
Miller Group Hub,212,6166449,359451,70,97490.96,23.8,896
King Ltd Studios,71,7830148,197148,86,123793.88,34.2,897
King Ltd Studios,71,7830148,197148,86,123793.88,34.2,1573
Rodgers-Garcia Studios,492,2996038,412966,60,47367.07,27.8,898
"Owens, Rodriguez and Cunningham Studios",463,2554543,261157,86,40387.08,32.8,899
"West, Moran and Flores Network",171,3014185,346058,40,47653.97,24.6,900
Jordan LLC Labs,230,7657247,15550,4,121060.33,6.1,901
Hendricks Inc Labs,454,5494160,314081,21,86862.13,19.6,902
Webster-Dean Labs,169,304846,139527,21,4819.59,9.8,903
Mclaughlin-Strong Studios,366,3534745,92192,99,55883.97,33.2,904
"Chen, Duncan and Austin Network",449,8296387,158936,17,131165.07,17.0,905
Clark Ltd Studios,443,5460380,155055,56,86328.08,21.0,906
Clark Ltd Studios,443,5460380,155055,56,86328.08,21.0,3613
Best-Carney Network,100,5545270,229108,33,87670.18,13.4,907
"Ward, Mason and Ryan Network",184,8185745,122598,75,129415.83,28.8,908
"Reed, Villegas and Simmons Network",98,3011350,358464,49,47609.15,25.2,909
Robertson-Vazquez Studios,150,6801189,482276,80,107526.13,24.7,910
Moody PLC Studios,211,7474867,20692,27,118176.92,16.5,911
Reese and Sons Labs,170,9893798,293055,98,156419.98,33.599999999999994,912
Fowler-Flores Network,370,5727537,374878,1,90551.8,1.7,913
Schultz Group Studios,207,2616901,172530,64,41372.95,33.2,914
"Curtis, Patel and Mclean Studios",247,718487,97625,34,11359.21,15.8,915
Adams Ltd Labs,405,8091873,22654,5,127931.72,6.4,916
Adams Ltd Labs,405,8091873,22654,5,127931.72,6.4,3612
Frye-Mendoza Studios,158,6553436,61347,70,103609.18,30.1,917
"Fields, Coleman and Roberts Hub",480,8903296,86406,55,140760.24,29.8,918
"Cobb, Carter and Farley Hub",93,2841728,403264,90,44927.44,36.1,919
"Macdonald, Carter and Casey Labs",245,5684615,336676,70,89873.21,24.5,920
James and Sons Studios,459,6196869,36341,100,97971.89,33.5,921
Garza-Miller Hub,265,4214700,118073,90,66634.0,37.5,922
"Gibbs, Jones and Gonzalez Labs",407,412472,59372,5,6521.14,5.699999999999999,923
Luna-Higgins Hub,324,4244123,191389,16,67099.17,18.8,924
Davis PLC Network,114,2487759,123193,92,39331.23,29.7,925
Davis PLC Network,114,2487759,123193,92,39331.23,29.7,3620
Moore Group Labs,62,8273281,194621,76,130799.77,31.2,926
Moore Group Labs,62,8273281,194621,76,130799.77,31.2,1138
Moore Group Labs,62,8273281,194621,76,130799.77,31.2,4593
Moore Group Labs,62,8273281,194621,76,130799.77,31.2,4872
Richards-Wright Hub,498,6481352,86819,39,102469.54,11.7,927
Murphy and Sons Labs,239,4900796,7805,29,77481.11,13.599999999999998,928
"Thomas, Jennings and Preston Studios",470,1395271,322556,3,22059.1,3.0,929
Jackson-Hood Network,284,6718200,361836,58,106214.09,17.4,930
Hahn-Zhang Studios,81,4831694,11148,59,76388.61,18.4,931
"Watkins, Sherman and Hayden Studios",473,2482079,238422,72,39241.43,34.9,932
"Delgado, Foster and Schmidt Network",248,8134952,16120,48,128612.8,20.7,933
Williams Group Labs,458,6886770,271595,100,108879.16,36.3,934
"Mendez, Vargas and Cuevas Studios",93,4566463,84590,84,72195.33,32.9,935
Price and Sons Network,105,5122577,447538,10,80987.44,7.199999999999999,936
Harrison-Patel Studios,319,8267168,42745,47,130703.12,24.6,937
Thompson Ltd Labs,224,1555348,458582,75,24589.9,36.5,938
"Smith, Perkins and Baker Studios",436,6016401,59584,73,95118.71,33.8,939
"Flynn, Rodriguez and Jones Hub",253,2734835,456630,36,43237.47,14.3,940
Wilkerson Ltd Hub,264,6527554,43176,70,103199.99,22.4,941
"Nelson, Herrera and Stout Network",78,79560,414434,98,1257.84,32.9,942
Carpenter-Ortiz Studios,473,8703589,318477,12,137602.89,16.9,943
Smith-Anderson Hub,315,9783896,125726,25,154682.44,8.9,944
Levy-Hayes Studios,381,5676284,24061,82,89741.5,32.3,945
"Phillips, Mitchell and Rodriguez Hub",434,8011270,285126,42,126657.4,14.7,946
Green-Jones Network,328,1241597,241849,12,19629.53,9.2,947
"Stewart, Ortiz and Figueroa Labs",171,9827347,413202,22,155369.4,13.6,948
Baird and Sons Network,471,9418809,71181,17,148910.45,17.7,949
"Aguilar, Barrett and Stevens Labs",451,9794332,323792,97,154847.43,30.5,950
"Bridges, Smith and Smith Labs",125,208523,366081,11,3296.73,6.8,951
"Foley, Griffin and Thomas Network",100,3525613,26708,13,55739.6,13.7,952
Moon-Adams Network,121,8824436,266697,91,139513.47,29.4,953
Spencer-Barnes Labs,171,2018111,210061,18,31906.14,11.0,954
Jones-Watts Network,398,752913,30447,10,11903.48,16.299999999999997,955
Andrews-Foster Studios,118,6288540,355670,29,99421.2,22.7,956
Taylor-Baker Labs,325,1471492,312797,39,23264.14,25.0,957
Perez and Sons Hub,153,2978021,61058,94,47082.22,39.4,958
Larsen Ltd Network,409,535156,287405,96,8460.76,28.8,959
Smith Group Labs,344,5863829,286201,100,92706.56,34.9,960
Smith Group Labs,344,5863829,286201,100,92706.56,34.9,4744
Weaver and Sons Network,486,8705865,203480,25,137638.88,7.5,961
Davis-Hicks Hub,303,7361797,444917,97,116389.29,38.9,962
"Black, Branch and Robinson Studios",242,1880051,32051,49,29723.42,20.3,963
"Stewart, Hensley and Brown Network",200,5184965,271311,4,81973.79,3.3,964
"Foster, Hunt and Miller Studios",449,7278535,69568,56,115072.93,19.6,965
Diaz-Jackson Hub,159,2106026,450750,65,33296.07,25.8,966
Kerr-Curry Labs,131,758076,130523,44,11985.11,24.4,967
Sullivan-Mckinney Network,478,2315108,38490,48,36601.63,28.4,968
Richardson-Barker Network,290,7749064,179772,19,122511.95,13.4,969
Doyle PLC Studios,117,7755898,61019,80,122619.99,29.6,970
Hayes-Rodriguez Labs,354,7124397,239656,81,112636.02,32.0,971
Miller-Levine Labs,120,3453175,81107,37,54594.36,11.1,972
Hinton Ltd Hub,155,7768978,316328,42,122826.78,17.5,973
"Dean, Everett and Johnston Hub",466,3686435,205583,21,58282.18,14.7,974
Lewis Ltd Hub,381,9218419,279082,43,145742.31,13.6,975
Gomez Ltd Network,389,7482231,467398,40,118293.34,21.8,976
Wallace Ltd Network,201,5454215,264828,30,86230.61,20.2,977
Marks Inc Studios,178,2032530,442511,69,32134.1,22.8,978
"Miller, Rocha and Garcia Studios",447,3991878,62531,62,63111.2,31.9,979
Moody-Hunter Hub,53,7252848,431148,93,114666.82,29.3,980
Arroyo Inc Network,481,9551938,288478,15,151015.21,18.5,981
Herrera-Harris Labs,141,5896646,167708,51,93225.4,19.5,982
"Hendricks, Morgan and Ramos Labs",86,8863025,159972,13,140123.56,10.9,983
Ortiz Inc Hub,125,6150908,70953,74,97245.26,34.099999999999994,984
Bush-Allen Hub,136,1049791,53805,82,16597.09,32.3,985
Kelly PLC Network,396,6921979,108858,26,109435.81,19.0,986
Kelly PLC Network,396,6921979,108858,26,109435.81,19.0,1468
Welch-Underwood Labs,114,2225930,234503,29,35191.74,11.5,987
"Henry, Stone and Perez Hub",307,7844417,106305,59,124019.47,31.7,988
Lopez-Scott Network,481,6158934,300008,81,97372.15,25.0,989
Mcintosh-Howe Hub,351,1611815,131469,17,25482.64,15.6,990
Alvarado-Mata Hub,335,5400360,136540,85,85379.16,26.9,991
"Chandler, Jenkins and Lynch Network",467,8986672,77057,36,142078.41,21.3,992
Wall-Mccarty Studios,361,920021,12796,60,14545.44,19.4,993
"Koch, Sanchez and Boyle Network",483,7200681,23180,96,113842.06,32.3,994
Crawford LLC Hub,437,6452473,319162,5,102012.97,15.5,995
"Erickson, Johnson and Reyes Studios",195,3488774,150274,72,55157.18,34.2,996
Martin-Howard Network,421,3310514,256002,62,52338.9,21.4,997
Reyes Group Hub,267,6026855,301963,87,95283.99,28.9,998
Allen Group Studios,292,3751913,431355,51,59317.38,19.5,999
Allen Group Studios,292,3751913,431355,51,59317.38,19.5,2402
Allen Group Studios,292,3751913,431355,51,59317.38,19.5,2865
Allen Group Studios,292,3751913,431355,51,59317.38,19.5,3655
"Miller, Stevens and Flores Labs",280,2651993,305348,8,41927.75,5.9,1000
"Singh, Simmons and Bennett Labs",398,2354391,431391,47,37222.69,21.1,1001
Martinez-Delgado Hub,301,3724452,450635,42,58883.22,14.7,1002
Jackson-Thomas Studios,238,8868173,254075,35,140204.95,18.2,1003
Powell Group Labs,453,5772611,445154,8,91264.42,9.4,1004
"Schultz, Allen and Ross Network",323,3791360,284607,90,59941.03,31.9,1005
Morris and Sons Hub,292,76392,300562,46,1207.75,21.5,1006
Morris and Sons Hub,292,76392,300562,46,1207.75,21.5,2879
Morris and Sons Hub,292,76392,300562,46,1207.75,21.5,3614
"Jones, Hudson and Smith Hub",145,6889516,261300,12,108922.58,16.2,1007
Proctor-Mitchell Studios,342,8211851,69083,8,129828.56,4.5,1008
Turner-Hernandez Studios,404,6622098,399090,13,104694.72,17.9,1009
Murray-Yates Labs,99,9884908,356918,91,156279.43,31.5,1010
"Raymond, Webb and Garcia Network",340,6508551,449478,96,102899.56,34.4,1011
Tate Ltd Network,295,7336504,325272,84,115989.41,30.1,1012
Kelly LLC Labs,191,9757434,31044,88,154264.08,29.9,241
Kelly LLC Labs,191,9757434,31044,88,154264.08,29.9,1013
Hansen PLC Studios,448,4824878,380359,14,76280.85,10.5,1014
Hays-Ford Network,98,6258670,328870,44,98948.96,21.6,1015
"Morales, Jones and Holland Labs",265,1119191,425167,71,17694.3,32.5,1016
"Johnson, Lambert and Hansen Network",77,5006232,391732,47,79148.04,21.1,1017
"Medina, Orr and Mcintyre Network",405,106095,479197,30,1677.35,16.7,1018
Frazier-Gregory Network,121,5848772,450190,35,92468.51,18.2,1019
Parsons-Rowe Network,65,5902727,193150,80,93321.54,32.4,1020
Santos Inc Hub,362,5259581,479709,6,83153.46,12.3,1021
"Vasquez, Green and Davis Studios",372,3101170,242763,66,49029.2,28.9,1022
Gutierrez-Salinas Labs,412,611002,266073,13,9659.88,7.4,1023
Wright Ltd Hub,76,2672751,61176,55,42255.93,25.6,1024
Brooks-Clark Hub,427,1361981,173530,37,21532.79,11.1,1025
Williams and Sons Studios,211,7543433,252612,37,119260.94,11.8,1026
"Lee, Sanders and Glenn Studios",79,3000856,423379,18,47443.24,8.899999999999999,1027
Webb PLC Hub,408,5475347,248057,47,86564.7,19.0,1028
Walls-Garcia Labs,264,6946517,314968,46,109823.76,26.4,1029
Phillips-Nichols Studios,327,7603866,178227,53,120216.38,26.4,1030
Smith-Cohen Network,277,7680661,182625,70,121430.5,32.9,1031
Rose-Glass Hub,413,2850523,387328,75,45066.49,23.2,1032
"Morris, Thompson and Martinez Studios",490,5747350,249324,3,90865.04,8.6,1033
Garcia-Brown Studios,351,4159185,150138,35,65756.31,22.4,1034
Garcia-Brown Studios,351,4159185,150138,35,65756.31,22.4,4923
Villarreal-Mccoy Studios,134,5647509,223870,74,89286.57,25.7,1035
Simmons-Miller Network,57,1544886,190739,85,24424.5,29.7,1036
Vaughn Inc Studios,314,3290020,305483,18,52014.9,6.799999999999999,1037
Holmes Inc Hub,352,1885829,62176,23,29814.77,20.2,1038
Gentry Ltd Labs,383,6515620,111024,94,103011.32,28.9,1039
Smith-Taylor Hub,407,2437724,336043,68,38540.18,30.2,1040
Berger-Taylor Studios,211,9265340,206179,86,146484.12,39.8,1041
Ho-Ruiz Network,228,9969845,181695,98,157622.28,31.5,1042
Burns-Blake Network,302,5891273,425883,37,93140.45,22.3,1043
Hodge-Hill Labs,373,3042578,477258,22,48102.86,10.8,1044
Lewis Inc Labs,194,9531261,77852,84,150688.31,33.599999999999994,1045
"Taylor, Rowe and Day Studios",175,6251561,327078,36,98836.57,15.7,1046
Dominguez Ltd Network,230,4903549,427034,97,77524.63,38.9,1047
"Roberts, Garcia and Greene Studios",387,3351279,205955,43,52983.39,17.8,1048
"West, Jones and Conner Hub",168,1415343,24154,56,22376.43,26.6,1049
Massey LLC Studios,129,618165,256615,81,9773.13,24.3,1050
Moore-Choi Studios,395,1795860,286342,89,28392.37,40.0,1051
Sherman-Hansen Studios,288,4460763,489104,58,70524.23,28.6,1052
"Elliott, Phillips and Hughes Studios",84,1681992,166716,74,26592.13,27.8,1053
Johnson PLC Hub,328,9868117,424919,71,156013.97,32.5,1054
Johnson PLC Hub,328,9868117,424919,71,156013.97,32.5,1576
Roberts and Sons Studios,426,6738822,113635,68,106540.12,30.9,1055
Jones-Baker Hub,240,1319433,402448,54,20860.11,29.5,1056
Harrington-Avery Labs,400,8966063,308178,35,141752.58,24.5,1057
"Williams, Smith and Richardson Labs",165,9341443,109557,37,147687.3,17.4,1058
"Miller, Johnson and Hall Hub",262,1326166,127019,34,20966.56,20.7,1059
"Ortiz, Rodgers and Morton Hub",292,6461233,359833,80,102151.46,33.8,1060
Dalton and Sons Network,70,9271778,397519,72,146585.91,34.9,1061
Osborn-Williams Hub,353,9470384,155953,30,149725.85,19.5,1062
Campbell-Stevens Network,332,3521334,453576,59,55671.95,31.7,1063
"Santos, Garza and Underwood Network",457,6475600,283672,92,102378.6,33.9,1064
Wilson-Rogers Network,436,157243,384185,69,2486.0,21.4,1065
"Terrell, Gibbs and Palmer Hub",176,7193420,199889,100,113727.27,41.2,1066
Sweeney and Sons Network,492,2045352,487890,30,32336.82,19.5,1067
Matthews-Barrett Network,78,2681687,463230,54,42397.21,25.3,1068
"Smith, Cantrell and Finley Studios",362,3995952,151007,9,63175.61,3.3999999999999995,1069
"Johnson, Griffin and Gonzalez Studios",192,4089790,81036,43,64659.18,18.5,1070
Jenkins-Bender Network,343,9034811,304794,37,142839.48,22.3,1071
Lopez Inc Studios,319,7231286,490348,10,114325.93,11.4,1072
Nielsen PLC Network,183,9388888,210223,31,148437.4,17.699999999999996,1073
"Wright, Perez and Shields Hub",466,7291843,434480,56,115283.33,21.0,1074
Gonzales LLC Network,127,4696377,498088,67,74249.26,22.2,1075
Adams-Morrison Network,440,8155826,50752,77,128942.81,37.1,1076
Morales-Bell Studios,314,8135218,301811,1,128617.0,9.4,1077
Greene-Watts Network,159,8834646,286976,19,139674.89,8.5,1078
Nelson and Sons Studios,438,6191366,20038,99,97884.89,29.7,1079
Nelson and Sons Studios,438,6191366,20038,99,97884.89,29.7,1201
Garcia Ltd Hub,297,4880296,285155,93,77157.0,41.9,1080
Garcia Ltd Hub,297,4880296,285155,93,77157.0,41.9,4684
Taylor-Woods Network,73,9933441,164915,36,157046.73,12.2,1081
"Sanchez, Johnson and Ali Labs",257,9501082,242265,30,150211.18,12.5,1082
"Craig, Glover and Thomas Studios",85,8916692,163016,5,140972.03,11.3,1083
Woodward Inc Studios,63,5286419,262116,17,83577.77,14.9,1084
Parks-Hatfield Studios,426,4438903,159382,50,70178.62,18.5,1085
Ford-Rose Labs,142,2220723,194215,77,35109.41,35.7,1086
Lewis Inc Studios,190,112229,329931,74,1774.33,29.9,1087
Stevens Ltd Labs,78,8979676,272319,42,141967.8,25.2,1088
"Garcia, Mitchell and Taylor Labs",445,7914969,317337,46,125134.89,27.8,1089
"Nguyen, Smith and Morrison Network",64,5618667,179575,12,88830.58,9.2,1090
"Doyle, Wheeler and Hunt Network",111,9035640,336309,93,142852.59,31.4,1091
Lewis-Jones Labs,422,3291668,28503,80,52040.95,34.5,1092
Bennett Inc Labs,290,6156288,341774,39,97330.31,13.8,1093
"Parrish, Webb and Griffin Labs",72,549075,297435,73,8680.82,34.5,1094
Ramirez Ltd Labs,285,7595181,121554,56,120079.07,22.4,1095
Ramirez Ltd Labs,285,7595181,121554,56,120079.07,22.4,3460
Francis Ltd Network,97,740393,295847,84,11705.54,35.7,1096
Parker Inc Hub,81,1946731,142216,93,30777.63,32.099999999999994,1097
Parker Inc Hub,81,1946731,142216,93,30777.63,32.099999999999994,3944
Peters-Martin Hub,144,6043343,163009,55,95544.66,16.5,1098
Smith Inc Hub,166,612662,192937,17,9686.13,12.1,317
Smith Inc Hub,166,612662,192937,17,9686.13,12.1,1099
Smith Inc Hub,166,612662,192937,17,9686.13,12.1,1746
Smith Inc Hub,166,612662,192937,17,9686.13,12.1,4762
Case Inc Labs,146,9440883,351162,7,149259.44,10.499999999999998,1100
Barrett-Gomez Labs,108,2047072,315703,90,32364.01,40.3,1101
Sanchez-Holmes Network,222,1596091,235989,46,25234.04,26.4,1102
"Dixon, Robles and Holt Labs",500,1365186,241572,8,21583.46,12.2,1103
"Mccarthy, Stewart and Williams Hub",236,565600,399280,47,8942.08,22.5,1104
Chandler and Sons Studios,346,3879965,265046,27,61341.87,17.2,1105
Adams Ltd Studios,397,2643242,473477,88,41789.4,35.5,1106
"Fuller, Burton and Allen Network",211,5461069,274205,64,86338.97,26.9,1107
Rich LLC Labs,349,2324685,413593,15,36753.04,16.4,1108
Bailey Group Labs,122,3037392,61657,63,48020.87,29.4,1109
Wells Ltd Network,258,1581839,240552,43,25008.72,25.5,1110
Lopez Inc Network,81,1079667,454663,38,17069.43,15.6,229
Lopez Inc Network,81,1079667,454663,38,17069.43,15.6,1111
"Evans, Prince and Mccarty Studios",177,3109666,16491,98,49163.52,35.0,1112
Meadows Group Network,139,4128781,342553,23,65275.62,8.299999999999999,1113
"Gallagher, Rodriguez and Perez Network",228,1545694,107616,32,24437.27,16.6,1114
"Moreno, Moyer and Adkins Studios",474,4605602,274888,79,72814.12,25.8,1115
"Jones, Hopkins and Roberts Studios",77,7902396,384023,62,124936.11,20.7,1116
"Miller, Valdez and Duke Hub",127,5751808,487371,10,90935.52,15.6,1117
Savage LLC Studios,112,7648594,65938,25,120923.52,8.2,1118
Walsh-Flynn Studios,410,7881347,220593,72,124603.33,33.5,1119
"Nelson, Allen and French Studios",390,1093270,247340,34,17284.49,10.9,1120
Schneider-Nolan Studios,393,6898843,391112,13,109070.03,15.1,1121
Hansen Ltd Labs,405,8550767,334456,91,135186.79,32.9,1122
Foley and Sons Hub,118,3739781,472154,1,59125.57,7.999999999999999,1123
"Smith, Melendez and Morales Network",250,3856483,196221,91,60970.62,35.7,1124
Moore-Travis Labs,311,6302411,375167,73,99640.5,33.099999999999994,1125
"Ochoa, Cummings and Park Labs",323,6861278,375229,31,108476.14,20.5,1126
